ntdll_8                                             0000000180085280 8   
RtlInitializeGenericTableAvl                        0000000180086010 1078
RtlInitializeHandleTable                            0000000180082220 1079
RtlInitializeNtUserPfn                              0000000180096570 1080
RtlInitializeRXact                                  000000018008CD00 1081
RtlInitializeResource                               0000000180011F00 1082
RtlInitializeSListHead                              0000000180077C90 1083
RtlInitializeSRWLock                                0000000180073260 1084
RtlInitializeSid                                    000000018005A4C0 1085
RtlInitializeSidEx                                  000000018005AAF0 1086
RtlInsertElementGenericTable                        000000018006ADC0 1087
RtlInsertElementGenericTableAvl                     0000000180075620 1088
RtlInsertElementGenericTableFull                    000000018006AE30 1089
RtlInsertElementGenericTableFullAvl                 0000000180075690 1090
RtlInsertEntryHashTable                             0000000180077090 1091
RtlInstallFunctionTableCallback                     0000000180071B20 1092
RtlInt64ToUnicodeString                             00000001800E5EE0 1093
RtlIntegerToChar                                    000000018002DB50 1094
RtlIntegerToUnicodeString                           000000018002DAC0 1095
RtlInterlockedClearBitRun                           0000000180080D50 1096
RtlInterlockedFlushSList                            0000000180077F70 1097
RtlInterlockedPopEntrySList                         00000001800A99B0 1098
RtlInterlockedPushEntrySList                        000000018006BE60 1099
RtlInterlockedPushListSList                         00000001800A9A60 1100
RtlInterlockedPushListSListEx                       00000001800F16C0 1101
RtlInterlockedSetBitRun                             00000001800E54F0 1102
RtlIoDecodeMemIoResource                            00000001800E9CF0 1103
RtlIoEncodeMemIoResource                            00000001800E9D90 1104
RtlIpv4AddressToStringA                             0000000180086820 1105
RtlIpv4AddressToStringExA                           00000001800EEDC0 1106
RtlIpv4AddressToStringExW                           0000000180081720 1107
RtlIpv4AddressToStringW                             00000001800817F0 1108
RtlIpv4StringToAddressA                             000000018007FB00 1109
RtlIpv4StringToAddressExA                           000000018007F9D0 1110
RtlIpv4StringToAddressExW                           000000018000B5B0 1111
RtlIpv4StringToAddressW                             000000018000B700 1112
RtlIpv6AddressToStringA                             000000018007F1A0 1113
RtlIpv6AddressToStringExA                           00000001800EEE80 1114
RtlIpv6AddressToStringExW                           00000001800622F0 1115
RtlIpv6AddressToStringW                             0000000180062440 1116
RtlIpv6StringToAddressA                             000000018007D9E0 1117
RtlIpv6StringToAddressExA                           000000018007D930 1118
RtlIpv6StringToAddressExW                           000000018000AB20 1119
RtlIpv6StringToAddressW                             000000018000AD30 1120
RtlIsActivationContextActive                        00000001800DBF30 1121
RtlIsCapabilitySid                                  000000018005A4F0 1122
RtlIsCriticalSectionLocked                          00000001800D4CE0 1123
RtlIsCriticalSectionLockedByThread                  000000018000DCF0 1124
RtlIsCurrentThreadAttachExempt                      00000001800D55E0 1125
RtlIsDosDeviceName_U                                0000000180080300 1126
RtlIsGenericTableEmpty                              000000018006B270 1127
RtlIsGenericTableEmptyAvl                           0000000180075870 1128
RtlIsLongPathAwareProcessByManifest                 00000001800D1130 1129
RtlIsMultiSessionSku                                0000000180056140 1130
RtlIsMultiUsersInSessionSku                         0000000180089590 1131
RtlIsNameInExpression                               00000001800F1720 1132
RtlIsNameLegalDOS8Dot3                              00000001800EFA10 1133
RtlIsNormalizedString                               0000000180002C80 1134
RtlIsPackageSid                                     000000018005D9C0 1135
RtlIsParentOfChildAppContainer                      000000018005E100 1136
RtlIsProcessorFeaturePresent                        000000018000E600 1137
RtlIsTextUnicode                                    0000000180069B50 1138
RtlIsThreadWithinLoaderCallout                      0000000180086070 1139
RtlIsUntrustedObject                                00000001800E0A10 1140
RtlIsValidHandle                                    000000018006F780 1141
RtlIsValidIndexHandle                               000000018006F740 1142
RtlIsValidLocaleName                                00000001800EFD90 1143
RtlIsValidProcessTrustLabelSid                      000000018005A150 1144
RtlKnownExceptionFilter                             0000000180089F40 1145
RtlLCIDToCultureName                                0000000180025210 1146
RtlLargeIntegerToChar                               0000000180001260 1147
RtlLcidToLocaleName                                 0000000180025A40 1148
RtlLeaveCriticalSection                             0000000180030E40 1149
RtlLengthRequiredSid                                000000018005B090 1150
RtlLengthSecurityDescriptor                         0000000180075A30 1151
RtlLengthSid                                        000000018006C060 1152
RtlLengthSidAsUnicodeString                         00000001800234D0 1153
RtlLoadString                                       000000018001F6C0 1154
RtlLocalTimeToSystemTime                            00000001800E02A0 1155
RtlLocaleNameToLcid                                 0000000180025D00 1156
RtlLocateExtendedFeature                            00000001800EC3E0 1157
RtlLocateExtendedFeature2                           00000001800EC400 1158
RtlLocateLegacyContext                              0000000180085C90 1159
RtlLockBootStatusData                               0000000180088E40 1160
RtlLockCurrentThread                                0000000180002260 1161
RtlLockHeap                                         0000000180030F60 1162
RtlLockMemoryBlockLookaside                         00000001800019D0 1163
RtlLockMemoryStreamRegion                           00000001800D4280 1164
RtlLockMemoryZone                                   0000000180001A40 1165
RtlLockModuleSection                                0000000180001DA0 1166
RtlLogStackBackTrace                                00000001800F3400 1167
RtlLookupAtomInAtomTable                            000000018006F3C0 1168
RtlLookupElementGenericTable                        000000018006AF40 1169
RtlLookupElementGenericTableAvl                     000000018006B610 1170
RtlLookupElementGenericTableFull                    00000001800EDCC0 1171
RtlLookupElementGenericTableFullAvl                 0000000180075320 1172
RtlLookupEntryHashTable                             0000000180077120 1173
RtlLookupFunctionEntry                              000000018004AB80 1174
RtlLookupFunctionTable                              00000001800DCF50 1175
RtlMakeSelfRelativeSD                               0000000180072D80 1176
RtlMapGenericMask                                   00000001800592E0 1177
RtlMapSecurityErrorToNtStatus                       0000000180090960 1178
RtlMoveMemory                                       00000001800AC640 1179
RtlMultiAppendUnicodeStringBuffer                   0000000180077830 1180
RtlMultiByteToUnicodeN                              0000000180029EA0 1181
RtlMultiByteToUnicodeSize                           0000000180087A70 1182
RtlMultipleAllocateHeap                             00000001800EA080 1183
RtlMultipleFreeHeap                                 00000001800EA100 1184
RtlNewInstanceSecurityObject                        00000001800D5D40 1185
RtlNewSecurityGrantedAccess                         00000001800D5E50 1186
RtlNewSecurityObject                                00000001800557B0 1187
RtlNewSecurityObjectEx                              0000000180056940 1188
RtlNewSecurityObjectWithMultipleInheritance         000000018008F790 1189
RtlNormalizeProcessParams                           000000018008C9F0 1190
RtlNormalizeString                                  000000018007DDB0 1191
RtlNtPathNameToDosPathName                          00000001800D11F0 1192
RtlNtStatusToDosError                               0000000180060830 1193
RtlNtStatusToDosErrorNoTeb                          000000018007B7F0 1194
RtlNtdllName                                        0000000180109338 1195
RtlNumberGenericTableElements                       0000000180085470 1196
RtlNumberGenericTableElementsAvl                    0000000180086510 1197
RtlNumberOfClearBits                                00000001800E55B0 1198
RtlNumberOfClearBitsInRange                         00000001800E55D0 1199
RtlNumberOfSetBits                                  00000001800E5600 1200
RtlNumberOfSetBitsInRange                           00000001800E57B0 1201
RtlNumberOfSetBitsUlongPtr                          0000000180075B30 1202
RtlOemStringToUnicodeSize                           0000000180087A40 1203
RtlOemStringToUnicodeString                         000000018007CEE0 1204
RtlOemToUnicodeN                                    000000018007CFD0 1205
RtlOpenCurrentUser                                  000000018000D060 1206
RtlOsDeploymentState                                00000001800F3E50 1207
RtlOwnerAcesPresent                                 000000018008EE00 1208
RtlPcToFileHeader                                   000000018004C250 1209
RtlPinAtomInAtomTable                               00000001800E3E00 1210
RtlPopFrame                                         00000001800726F0 1211
RtlPrefixString                                     0000000180073CD0 1212
RtlPrefixUnicodeString                              000000018006DA30 1213
RtlPrepareForProcessCloning                         00000001800D5620 1214
RtlProcessFlsData                                   0000000180007DB0 1215
RtlProtectHeap                                      000000018000E8A0 1216
RtlPublishWnfStateData                              0000000180082660 1217
RtlPushFrame                                        00000001800726C0 1218
RtlQueryActivationContextApplicationSettings        0000000180080B70 1219
RtlQueryAtomInAtomTable                             000000018006ED90 1220
RtlQueryCriticalSectionOwner                        00000001800D4D00 1221
RtlQueryDepthSList                                  000000018006BE70 1222
RtlQueryDynamicTimeZoneInformation                  00000001800E6340 1223
RtlQueryElevationFlags                              0000000180081FF0 1224
RtlQueryEnvironmentVariable                         00000001800307E0 1225
RtlQueryEnvironmentVariable_U                       0000000180067AD0 1226
RtlQueryHeapInformation                             0000000180081840 1227
RtlQueryInformationAcl                              00000001800808F0 1228
RtlQueryInformationActivationContext                000000018002DCE0 1229
RtlQueryInformationActiveActivationContext          0000000180084BE0 1230
RtlQueryInterfaceMemoryStream                       00000001800D4280 1231
RtlQueryModuleInformation                           00000001800DDFB0 1232
RtlQueryPackageClaims                               0000000180074A60 1233
RtlQueryPackageIdentity                             00000001800749A0 1234
RtlQueryPackageIdentityEx                           00000001800749F0 1235
RtlQueryPerformanceCounter                          0000000180062230 1236
RtlQueryPerformanceFrequency                        00000001800780D0 1237
RtlQueryProcessBackTraceInformation                 00000001800D6280 1238
RtlQueryProcessDebugInformation                     0000000180070120 1239
RtlQueryProcessHeapInformation                      00000001800957F0 1240
RtlQueryProcessLockInformation                      00000001800D6410 1241
RtlQueryProtectedPolicy                             00000001800843D0 1242
RtlQueryRegistryValues                              00000001800E6350 1243
RtlQueryRegistryValuesEx                            0000000180066010 1244
RtlQueryResourcePolicy                              00000001800123B0 1245
RtlQuerySecurityObject                              00000001800D5F90 1246
RtlQueryTagHeap                                     00000001800EA170 1247
RtlQueryThreadProfiling                             00000001800D0D40 1248
RtlQueryTimeZoneInformation                         0000000180065870 1249
RtlQueryUmsThreadInformation                        00000001800ED9A0 1250
RtlQueryUnbiasedInterruptTime                       000000018007F120 1251
RtlQueryValidationRunlevel                          00000001800F3F90 1252
RtlQueryWnfMetaNotification                         0000000180088550 1253
RtlQueryWnfStateData                                0000000180080ED0 1254
RtlQueryWnfStateDataWithExplicitScope               00000001800863E0 1255
RtlQueueApcWow64Thread                              00000001800D93B0 1256
RtlQueueWorkItem                                    000000018004E5C0 1257
RtlRaiseException                                   000000018004B350 1258
RtlRaiseStatus                                      00000001800A5A80 1259
RtlRandom                                           0000000180012470 1260
RtlRandomEx                                         0000000180012470 1261
RtlRbInsertNodeEx                                   0000000180031120 1262
RtlRbRemoveNode                                     0000000180031540 1263
RtlReAllocateHeap                                   0000000180035910 1264
RtlReadMemoryStream                                 00000001800D4280 1265
RtlReadOutOfProcessMemoryStream                     00000001800D4280 1266
RtlReadThreadProfilingData                          00000001800D0D70 1267
RtlRealPredecessor                                  00000001800EDC40 1268
RtlRealSuccessor                                    000000018006B530 1269
RtlRegisterForWnfMetaNotification                   0000000180086B10 1270
RtlRegisterSecureMemoryCacheCallback                00000001800EE090 1271
RtlRegisterThreadWithCsrss                          0000000180081C60 1272
RtlRegisterWait                                     00000001800519D0 1273
RtlReleaseActivationContext                         000000018004F710 1274
RtlReleaseMemoryStream                              0000000180085BC0 1275
RtlReleasePath                                      00000001800303E0 1276
RtlReleasePebLock                                   000000018002EEE0 1277
RtlReleasePrivilege                                 0000000180086DF0 1278
RtlReleaseRelativeName                              000000018001E3B0 1279
RtlReleaseResource                                  000000018006FE20 1280
RtlReleaseSRWLockExclusive                          0000000180031A50 1281
RtlReleaseSRWLockShared                             0000000180045EB0 1282
RtlRemoteCall                                       00000001800F1530 1283
RtlRemoveEntryHashTable                             0000000180081BA0 1284
RtlRemovePrivileges                                 00000001800877C0 1285
RtlRemoveVectoredContinueHandler                    00000001800D7180 1286
RtlRemoveVectoredExceptionHandler                   00000001800859D0 1287
RtlReplaceSidInSd                                   00000001800E0BA0 1288
RtlReplaceSystemDirectoryInPath                     0000000180070D90 1289
RtlReportException                                  00000001800047F0 1290
RtlReportExceptionEx                                00000001800D9A90 1291
RtlReportSilentProcessExit                          0000000180007B80 1292
RtlReportSqmEscalation                              00000001800D9E30 1293
RtlResetMemoryBlockLookaside                        00000001800E3F00 1294
RtlResetMemoryZone                                  00000001800E4060 1295
RtlResetNtUserPfn                                   0000000180096750 1296
RtlResetRtlTranslations                             0000000180089830 1297
RtlRestoreBootStatusDefaults                        00000001800E61D0 1298
RtlRestoreContext                                   00000001800864B0 1299
RtlRestoreLastWin32Error                            00000001800607C0 1300
RtlRetrieveNtUserPfn                                00000001800967D0 1301
RtlRevertMemoryStream                               00000001800D4280 1302
RtlRunDecodeUnicodeString                           000000018008FCF0 1303
RtlRunEncodeUnicodeString                           000000018008FB10 1304
RtlRunOnceBeginInitialize                           0000000180045D70 1305
RtlRunOnceComplete                                  0000000180012F30 1306
RtlRunOnceExecuteOnce                               0000000180012BB0 1307
RtlRunOnceInitialize                                0000000180073260 1308
RtlSecondsSince1970ToTime                           0000000180086EA0 1309
RtlSecondsSince1980ToTime                           00000001800E0310 1310
RtlSeekMemoryStream                                 00000001800D4280 1311
RtlSelfRelativeToAbsoluteSD                         0000000180072BA0 1312
RtlSelfRelativeToAbsoluteSD2                        0000000180072990 1313
RtlSendMsgToSm                                      000000018008D200 1314
RtlSetAllBits                                       0000000180081220 1315
RtlSetAttributesSecurityDescriptor                  00000001800E0EC0 1316
RtlSetBit                                           0000000180077E60 1317
RtlSetBits                                          000000018001C2A0 1318
RtlSetControlSecurityDescriptor                     0000000180086090 1319
RtlSetCriticalSectionSpinCount                      0000000180030DC0 1320
RtlSetCurrentDirectory_U                            000000018007A8F0 1321
RtlSetCurrentEnvironment                            0000000180088960 1322
RtlSetCurrentTransaction                            0000000180073270 1323
RtlSetDaclSecurityDescriptor                        0000000180056C30 1324
RtlSetDynamicTimeZoneInformation                    00000001800E6380 1325
RtlSetEnvironmentStrings                            00000001800850B0 1326
RtlSetEnvironmentVar                                0000000180067B90 1327
RtlSetEnvironmentVariable                           0000000180067B40 1328
RtlSetExtendedFeaturesMask                          0000000180088600 1329
RtlSetGroupSecurityDescriptor                       0000000180059390 1330
RtlSetHeapInformation                               000000018007F640 1331
RtlSetInformationAcl                                00000001800E2CA0 1332
RtlSetIoCompletionCallback                          000000018008FE20 1333
RtlSetLastWin32Error                                00000001800607C0 1334
RtlSetLastWin32ErrorAndNtStatusFromNtStatus         00000001800607A0 1335
RtlSetMemoryStreamSize                              00000001800D4280 1336
RtlSetOwnerSecurityDescriptor                       00000001800593F0 1337
RtlSetPortableOperatingSystem                       00000001800E62A0 1338
RtlSetProcessDebugInformation                       00000001800D66C0 1339
RtlSetProcessIsCritical                             000000018008D810 1340
RtlSetProcessPreferredUILanguages                   0000000180088680 1341
RtlSetProtectedPolicy                               0000000180082830 1342
RtlSetSaclSecurityDescriptor                        000000018007F000 1343
RtlSetSearchPathMode                                0000000180087FA0 1344
RtlSetSecurityDescriptorRMControl                   0000000180088A30 1345
RtlSetSecurityObject                                0000000180055780 1346
RtlSetSecurityObjectEx                              00000001800907F0 1347
RtlSetThreadErrorMode                               000000018007C420 1348
RtlSetThreadIsCritical                              000000018008CC80 1349
RtlSetThreadPoolStartFunc                           0000000180085BC0 1350
RtlSetThreadPreferredUILanguages                    0000000180022F00 1351
RtlSetThreadSubProcessTag                           000000018002F3A0 1352
RtlSetThreadWorkOnBehalfTicket                      000000018002F330 1353
RtlSetTimeZoneInformation                           00000001800E6390 1354
RtlSetTimer                                         00000001800FF6A0 1355
RtlSetUmsThreadInformation                          00000001800EDA50 1356
RtlSetUnhandledExceptionFilter                      0000000180076410 1357
RtlSetUserFlagsHeap                                 00000001800EA340 1358
RtlSetUserValueHeap                                 0000000180073990 1359
RtlSidDominates                                     0000000180056060 1360
RtlSidDominatesForTrust                             000000018005A0C0 1361
RtlSidEqualLevel                                    00000001800E0EF0 1362
RtlSidHashInitialize                                00000001800784A0 1363
RtlSidHashLookup                                    000000018007A7D0 1364
RtlSidIsHigherLevel                                 00000001800E0F80 1365
RtlSizeHeap                                         000000018003C200 1366
RtlSleepConditionVariableCS                         000000018006D050 1367
RtlSleepConditionVariableSRW                        000000018006CEC0 1368
RtlSparseBitmapCtxAreAllClear                       0000000180101120 1369
RtlSparseBitmapCtxAreAllSet                         0000000180101130 1370
RtlSparseBitmapCtxCheckBit                          0000000180101150 1371
RtlSparseBitmapCtxCleanup                           0000000180101170 1372
RtlSparseBitmapCtxClearBits                         000000018001AB00 1373
RtlSparseBitmapCtxClearBitsEx                       00000001801011E0 1374
RtlSparseBitmapCtxCountBitsSet                      0000000180101210 1375
RtlSparseBitmapCtxFindNextBitSet                    00000001801012D0 1376
RtlSparseBitmapCtxFindSetRuns                       00000001801012E0 1377
RtlSparseBitmapCtxInitialize                        0000000180101380 1378
RtlSparseBitmapCtxMetadataForBit                    00000001801013B0 1379
RtlSparseBitmapCtxOrBitmap                          0000000180101490 1380
RtlSparseBitmapCtxPrepareBits                       00000001801015E0 1381
RtlSparseBitmapCtxSetBits                           000000018001AD90 1382
RtlSparseBitmapCtxSetBitsEx                         0000000180101660 1383
RtlSparseBitmapCtxStart                             00000001800741C0 1384
RtlSparseBitmapCtxSubtractBitmap                    0000000180101690 1385
RtlSparseBitmapEnumerateBitmap                      00000001801017C0 1386
RtlSplay                                            000000018006AFC0 1387
RtlStartRXact                                       0000000180082DD0 1388
RtlStatMemoryStream                                 00000001800D4280 1389
RtlStringFromGUID                                   0000000180074FC0 1390
RtlStringFromGUIDEx                                 0000000180074FD0 1391
RtlStronglyEnumerateEntryHashTable                  00000001800EC340 1392
RtlSubAuthorityCountSid                             0000000180075270 1393
RtlSubAuthoritySid                                  0000000180073460 1394
RtlSubscribeWnfStateChangeNotification              00000001800148A0 1395
RtlSubtreePredecessor                               000000018006B500 1396
RtlSubtreeSuccessor                                 00000001800EDC90 1397
RtlSwitchedVVI                                      0000000180011990 1398
RtlSystemTimeToLocalTime                            00000001800838A0 1399
RtlTestAndPublishWnfStateData                       00000001800873C0 1400
RtlTestBit                                          00000001800E5A30 1401
RtlTestProtectedAccess                              000000018008DCA0 1402
RtlTimeFieldsToTime                                 000000018006A860 1403
RtlTimeToElapsedTimeFields                          0000000180081550 1404
RtlTimeToSecondsSince1970                           0000000180081640 1405
RtlTimeToSecondsSince1980                           0000000180081510 1406
RtlTimeToTimeFields                                 000000018006AA70 1407
RtlTraceDatabaseAdd                                 00000001800F40A0 1408
RtlTraceDatabaseCreate                              00000001800F4120 1409
RtlTraceDatabaseDestroy                             00000001800F4250 1410
RtlTraceDatabaseEnumerate                           00000001800F42D0 1411
RtlTraceDatabaseFind                                00000001800F43B0 1412
RtlTraceDatabaseLock                                00000001800F4430 1413
RtlTraceDatabaseUnlock                              00000001800F4460 1414
RtlTraceDatabaseValidate                            00000001800F4480 1415
RtlTryAcquirePebLock                                00000001800167D0 1416
RtlTryAcquireSRWLockExclusive                       0000000180053820 1417
RtlTryAcquireSRWLockShared                          000000018007F970 1418
RtlTryConvertSRWLockSharedToExclusiveOrRelease      00000001800E24F0 1419
RtlTryEnterCriticalSection                          00000001800167F0 1420
RtlUTF8ToUnicodeN                                   000000018006A090 1421
RtlUmsThreadYield                                   00000001800EDA90 1422
RtlUnhandledExceptionFilter                         00000001800F2C60 1423
RtlUnhandledExceptionFilter2                        00000001800F2C80 1424
RtlUnicodeStringToAnsiSize                          000000018007F7E0 1425
RtlUnicodeStringToAnsiString                        000000018002A3A0 1426
RtlUnicodeStringToCountedOemString                  00000001800E4110 1427
RtlUnicodeStringToInteger                           000000018006FA60 1428
RtlUnicodeStringToOemSize                           000000018007F7E0 1429
RtlUnicodeStringToOemString                         000000018006E9F0 1430
RtlUnicodeToCustomCPN                               00000001800DF770 1431
RtlUnicodeToMultiByteN                              000000018002A480 1432
RtlUnicodeToMultiByteSize                           000000018007F810 1433
RtlUnicodeToOemN                                    000000018006EAC0 1434
RtlUnicodeToUTF8N                                   00000001800685E0 1435
RtlUniform                                          0000000180074380 1436
RtlUnlockBootStatusData                             00000001800892F0 1437
RtlUnlockCurrentThread                              0000000180002320 1438
RtlUnlockHeap                                       0000000180030EC0 1439
RtlUnlockMemoryBlockLookaside                       0000000180001C10 1440
RtlUnlockMemoryStreamRegion                         00000001800D4280 1441
RtlUnlockMemoryZone                                 0000000180001C70 1442
RtlUnlockModuleSection                              0000000180001EA0 1443
RtlUnsubscribeWnfNotificationWaitForCompletion      0000000180015950 1444
RtlUnsubscribeWnfNotificationWithCompletionCallback 00000001800549A0 1445
RtlUnsubscribeWnfStateChangeNotification            0000000180053C80 1446
RtlUnwind                                           00000001800F3E00 1447
RtlUnwindEx                                         0000000180049F20 1448
RtlUpcaseUnicodeChar                                0000000180021AD0 1449
RtlUpcaseUnicodeString                              0000000180021B30 1450
RtlUpcaseUnicodeStringToAnsiString                  00000001800E4260 1451
RtlUpcaseUnicodeStringToCountedOemString            00000001800E4380 1452
RtlUpcaseUnicodeStringToOemString                   000000018007D1C0 1453
RtlUpcaseUnicodeToCustomCPN                         00000001800DF9A0 1454
RtlUpcaseUnicodeToMultiByteN                        00000001800804B0 1455
RtlUpcaseUnicodeToOemN                              000000018007D350 1456
RtlUpdateClonedCriticalSection                      0000000180007B50 1457
RtlUpdateClonedSRWLock                              00000001800892D0 1458
RtlUpdateTimer                                      00000001800543C0 1459
RtlUpperChar                                        0000000180073E00 1460
RtlUpperString                                      00000001800E45B0 1461
RtlUserThreadStart                                  00000001800670B0 1462
RtlValidAcl                                         0000000180026540 1463
RtlValidProcessProtection                           00000001800DDCD0 1464
RtlValidRelativeSecurityDescriptor                  0000000180077CC0 1465
RtlValidSecurityDescriptor                          0000000180026400 1466
RtlValidSid                                         0000000180026500 1467
RtlValidateHeap                                     00000001800779F0 1468
RtlValidateProcessHeaps                             00000001800EA830 1469
RtlValidateUnicodeString                            000000018007A340 1470
RtlVerifyVersionInfo                                0000000180084C10 1471
RtlVirtualUnwind                                    000000018004BAD0 1472
RtlWaitForWnfMetaNotification                       00000001800869A0 1473
RtlWaitOnAddress                                    00000001800888B0 1474
RtlWakeAddressAll                                   000000018002E930 1475
RtlWakeAddressAllNoFence                            00000001800F47C0 1476
RtlWakeAddressSingle                                00000001800F47D0 1477
RtlWakeAddressSingleNoFence                         00000001800F47F0 1478
RtlWakeAllConditionVariable                         00000001800637B0 1479
RtlWakeConditionVariable                            000000018006D490 1480
RtlWalkFrameChain                                   0000000180047230 1481
RtlWalkHeap                                         00000001800011F0 1482
RtlWeaklyEnumerateEntryHashTable                    00000001800EC3B0 1483
RtlWerpReportException                              0000000180089F60 1484
RtlWnfCompareChangeStamp                            00000001800DAD10 1485
RtlWnfDllUnloadCallback                             00000001800555C0 1486
RtlWow64CallFunction64                              0000000180089470 1487
RtlWow64EnableFsRedirection                         0000000180089470 1488
RtlWow64EnableFsRedirectionEx                       0000000180089470 1489
RtlWow64GetCpuAreaInfo                              00000001800776C0 1490
RtlWow64GetCurrentCpuArea                           0000000180077640 1491
RtlWow64GetCurrentMachine                           0000000180077460 1492
RtlWow64GetProcessMachines                          0000000180070F40 1493
RtlWow64GetThreadContext                            00000001800D93D0 1494
RtlWow64GetThreadSelectorEntry                      00000001800D9400 1495
RtlWow64IsWowGuestMachineSupported                  0000000180083560 1496
RtlWow64LogMessageInEventLogger                     00000001800D5740 1497
RtlWow64SetThreadContext                            00000001800D95A0 1498
RtlWow64SuspendThread                               00000001800D95C0 1499
RtlWow64SuspendThreadEx                             00000001800D95D0 1500
RtlWriteMemoryStream                                00000001800D4280 1501
RtlWriteRegistryValue                               0000000180090830 1502
RtlZeroHeap                                         00000001800ECB70 1503
RtlZeroMemory                                       00000001800909B0 1504
RtlZombifyActivationContext                         00000001800DBC50 1505
RtlpApplyLengthFunction                             000000018006D6D0 1506
RtlpCheckDynamicTimeZoneInformation                 0000000180065AD0 1507
RtlpCleanupRegistryKeys                             00000001800E74F0 1508
RtlpConvertAbsoluteToRelativeSecurityAttribute      00000001800E2CE0 1509
RtlpConvertCultureNamesToLCIDs                      00000001800E7960 1510
RtlpConvertLCIDsToCultureNames                      00000001800E7B80 1511
RtlpConvertRelativeToAbsoluteSecurityAttribute      00000001800E3040 1512
RtlpCreateProcessRegistryInfo                       0000000180024280 1513
RtlpEnsureBufferSize                                0000000180077940 1514
RtlpExecuteUmsThread                                00000001800AA521 1515
RtlpFreezeTimeBias                                  0000000180153358 1516
RtlpGetDeviceFamilyInfoEnum                         000000018007BD80 1517
RtlpGetLCIDFromLangInfoNode                         0000000180084380 1518
RtlpGetNameFromLangInfoNode                         00000001800823C0 1519
RtlpGetSystemDefaultUILanguage                      00000001800267A0 1520
RtlpGetUserOrMachineUILanguage4NLS                  00000001800F4800 1521
RtlpInitializeLangRegistryInfo                      0000000180008190 1522
RtlpIsQualifiedLanguage                             000000018001A7C0 1523
RtlpLoadMachineUIByPolicy                           0000000180007950 1524
RtlpLoadUserUIByPolicy                              0000000180009210 1525
RtlpMergeSecurityAttributeInformation               0000000180087DE0 1526
RtlpMuiFreeLangRegistryInfo                         0000000180006770 1527
RtlpMuiRegCreateRegistryInfo                        00000001800F5200 1528
RtlpMuiRegFreeRegistryInfo                          0000000180008800 1529
RtlpMuiRegLoadRegistryInfo                          0000000180008710 1530
RtlpNotOwnerCriticalSection                         00000001800D4F10 1531
RtlpNtCreateKey                                     0000000180090900 1532
RtlpNtEnumerateSubKey                               0000000180083460 1533
RtlpNtMakeTemporaryKey                              00000001800F8170 1534
RtlpNtOpenKey                                       0000000180082280 1535
RtlpNtQueryValueKey                                 0000000180081280 1536
RtlpNtSetValueKey                                   00000001800908D0 1537
RtlpQueryDefaultUILanguage                          000000018001DFE0 1538
RtlpQueryProcessDebugInformationFromWow64           00000001800D6AB0 1539
RtlpRefreshCachedUILanguage                         00000001800F6620 1540
RtlpSetInstallLanguage                              00000001800E8610 1541
RtlpSetPreferredUILanguages                         00000001800E8D50 1542
RtlpSetUserPreferredUILanguages                     00000001800E8D50 1543
RtlpUmsExecuteYieldThreadEnd                        00000001800AA89F 1544
RtlpUmsThreadYield                                  00000001800AA797 1545
RtlpUnWaitCriticalSection                           000000018002F4F0 1546
RtlpVerifyAndCommitUILanguageSettings               000000018008D410 1547
RtlpWaitForCriticalSection                          0000000180084E90 1548
RtlxAnsiStringToUnicodeSize                         0000000180087A40 1549
RtlxOemStringToUnicodeSize                          0000000180087A40 1550
RtlxUnicodeStringToAnsiSize                         000000018007F7E0 1551
RtlxUnicodeStringToOemSize                          000000018007F7E0 1552
SbExecuteProcedure                                  00000001800FF860 1553
SbSelectProcedure                                   000000018000F580 1554
ShipAssert                                          00000001800DA2E0 1555
ShipAssertGetBufferInfo                             00000001800DA400 1556
ShipAssertMsgA                                      00000001800DA430 1557
ShipAssertMsgW                                      00000001800DA430 1558
TpAllocAlpcCompletion                               0000000180054C20 1559
TpAllocAlpcCompletionEx                             0000000180053F20 1560
TpAllocCleanupGroup                                 0000000180080E00 1561
TpAllocIoCompletion                                 0000000180053FD0 1562
TpAllocJobNotification                              00000001800549D0 1563
TpAllocPool                                         0000000180053830 1564
TpAllocTimer                                        000000018004F1C0 1565
TpAllocWait                                         000000018004F020 1566
TpAllocWork                                         000000018004F950 1567
TpAlpcRegisterCompletionList                        0000000180055480 1568
TpAlpcUnregisterCompletionList                      0000000180055580 1569
TpCallbackDetectedUnrecoverableError                00000001800FF1A0 1570
TpCallbackIndependent                               00000001800555D0 1571
TpCallbackLeaveCriticalSectionOnCompletion          0000000180089480 1572
TpCallbackMayRunLong                                0000000180078610 1573
TpCallbackReleaseMutexOnCompletion                  00000001800FF1D0 1574
TpCallbackReleaseSemaphoreOnCompletion              00000001800FF210 1575
TpCallbackSendAlpcMessageOnCompletion               000000018006C080 1576
TpCallbackSendPendingAlpcMessage                    0000000180082A70 1577
TpCallbackSetEventOnCompletion                      0000000180087990 1578
TpCallbackUnloadDllOnCompletion                     0000000180085180 1579
TpCancelAsyncIoOperation                            0000000180051900 1580
TpCaptureCaller                                     000000018007F3A0 1581
TpCheckTerminateWorker                              0000000180066C90 1582
TpDbgDumpHeapUsage                                  00000001800FF250 1583
TpDbgSetLogRoutine                                  0000000180084E90 1584
TpDisablePoolCallbackChecks                         00000001800879F0 1585
TpDisassociateCallback                              0000000180083C10 1586
TpIsTimerSet                                        000000018004FD00 1587
