ntdll_8                                             0000000180085280 8   
NtCreateTransaction                                 00000001800A7810 298 
NtCreateTransactionManager                          00000001800A7830 299 
NtCreateUserProcess                                 00000001800A7850 300 
NtCreateWaitCompletionPacket                        00000001800A7870 301 
NtCreateWaitablePort                                00000001800A7890 302 
NtCreateWnfStateName                                00000001800A78B0 303 
NtCreateWorkerFactory                               00000001800A78D0 304 
NtDebugActiveProcess                                00000001800A78F0 305 
NtDebugContinue                                     00000001800A7910 306 
NtDelayExecution                                    00000001800A6740 307 
NtDeleteAtom                                        00000001800A7930 308 
NtDeleteBootEntry                                   00000001800A7950 309 
NtDeleteDriverEntry                                 00000001800A7970 310 
NtDeleteFile                                        00000001800A7990 311 
NtDeleteKey                                         00000001800A79B0 312 
NtDeleteObjectAuditAlarm                            00000001800A79D0 313 
NtDeletePrivateNamespace                            00000001800A79F0 314 
NtDeleteValueKey                                    00000001800A7A10 315 
NtDeleteWnfStateData                                00000001800A7A30 316 
NtDeleteWnfStateName                                00000001800A7A50 317 
NtDeviceIoControlFile                               00000001800A61A0 318 
NtDisableLastKnownGood                              00000001800A7A70 319 
NtDisplayString                                     00000001800A7A90 320 
NtDrawText                                          00000001800A7AB0 321 
NtDuplicateObject                                   00000001800A6840 322 
NtDuplicateToken                                    00000001800A6900 323 
NtEnableLastKnownGood                               00000001800A7AD0 324 
NtEnumerateBootEntries                              00000001800A7AF0 325 
NtEnumerateDriverEntries                            00000001800A7B10 326 
NtEnumerateKey                                      00000001800A6700 327 
NtEnumerateSystemEnvironmentValuesEx                00000001800A7B30 328 
NtEnumerateTransactionObject                        00000001800A7B50 329 
NtEnumerateValueKey                                 00000001800A6320 330 
NtExtendSection                                     00000001800A7B70 331 
NtFilterBootOption                                  00000001800A7B90 332 
NtFilterToken                                       00000001800A7BB0 333 
NtFilterTokenEx                                     00000001800A7BD0 334 
NtFindAtom                                          00000001800A6340 335 
NtFlushBuffersFile                                  00000001800A6A20 336 
NtFlushBuffersFileEx                                00000001800A7BF0 337 
NtFlushInstallUILanguage                            00000001800A7C10 338 
NtFlushInstructionCache                             00000001800A7C30 339 
NtFlushKey                                          00000001800A7C50 340 
NtFlushProcessWriteBuffers                          00000001800A7C70 341 
NtFlushVirtualMemory                                00000001800A7C90 342 
NtFlushWriteBuffer                                  00000001800A7CB0 343 
NtFreeUserPhysicalPages                             00000001800A7CD0 344 
NtFreeVirtualMemory                                 00000001800A6480 345 
NtFreezeRegistry                                    00000001800A7CF0 346 
NtFreezeTransactions                                00000001800A7D10 347 
NtFsControlFile                                     00000001800A67E0 348 
NtGetCachedSigningLevel                             00000001800A7D30 349 
NtGetCompleteWnfStateSubscription                   00000001800A7D50 350 
NtGetContextThread                                  00000001800A7D70 351 
NtGetCurrentProcessorNumber                         00000001800A7D90 352 
NtGetCurrentProcessorNumberEx                       00000001800A7DB0 353 
NtGetDevicePowerState                               00000001800A7DD0 354 
NtGetMUIRegistryInfo                                00000001800A7DF0 355 
NtGetNextProcess                                    00000001800A7E10 356 
NtGetNextThread                                     00000001800A7E30 357 
NtGetNlsSectionPtr                                  00000001800A7E50 358 
NtGetNotificationResourceManager                    00000001800A7E70 359 
NtGetTickCount                                      00000001800E0280 360 
NtGetWriteWatch                                     00000001800A7E90 361 
NtImpersonateAnonymousToken                         00000001800A7EB0 362 
NtImpersonateClientOfPort                           00000001800A64A0 363 
NtImpersonateThread                                 00000001800A7ED0 364 
NtInitializeEnclave                                 00000001800A7EF0 365 
NtInitializeNlsFiles                                00000001800A7F10 366 
NtInitializeRegistry                                00000001800A7F30 367 
NtInitiatePowerAction                               00000001800A7F50 368 
NtIsProcessInJob                                    00000001800A6AA0 369 
NtIsSystemResumeAutomatic                           00000001800A7F70 370 
NtIsUILanguageComitted                              00000001800A7F90 371 
NtListenPort                                        00000001800A7FB0 372 
NtLoadDriver                                        00000001800A7FD0 373 
NtLoadEnclaveData                                   00000001800A7FF0 374 
NtLoadKey                                           00000001800A8010 375 
NtLoadKey2                                          00000001800A8030 376 
NtLoadKeyEx                                         00000001800A8050 377 
NtLockFile                                          00000001800A8070 378 
NtLockProductActivationKeys                         00000001800A8090 379 
NtLockRegistryKey                                   00000001800A80B0 380 
NtLockVirtualMemory                                 00000001800A80D0 381 
NtMakePermanentObject                               00000001800A80F0 382 
NtMakeTemporaryObject                               00000001800A8110 383 
NtManagePartition                                   00000001800A8130 384 
NtMapCMFModule                                      00000001800A8150 385 
NtMapUserPhysicalPages                              00000001800A8170 386 
NtMapUserPhysicalPagesScatter                       00000001800A6120 387 
NtMapViewOfSection                                  00000001800A65C0 388 
NtModifyBootEntry                                   00000001800A8190 389 
NtModifyDriverEntry                                 00000001800A81B0 390 
NtNotifyChangeDirectoryFile                         00000001800A81D0 391 
NtNotifyChangeKey                                   00000001800A81F0 392 
NtNotifyChangeMultipleKeys                          00000001800A8210 393 
NtNotifyChangeSession                               00000001800A8230 394 
NtOpenDirectoryObject                               00000001800A6BC0 395 
NtOpenEnlistment                                    00000001800A8250 396 
NtOpenEvent                                         00000001800A68C0 397 
NtOpenEventPair                                     00000001800A8270 398 
NtOpenFile                                          00000001800A6720 399 
NtOpenIoCompletion                                  00000001800A8290 400 
NtOpenJobObject                                     00000001800A82B0 401 
NtOpenKey                                           00000001800A6300 402 
NtOpenKeyEx                                         00000001800A82D0 403 
NtOpenKeyTransacted                                 00000001800A82F0 404 
NtOpenKeyTransactedEx                               00000001800A8310 405 
NtOpenKeyedEvent                                    00000001800A8330 406 
NtOpenMutant                                        00000001800A8350 407 
